,year,week,variable,value,year_week
303,2017,12,T_max,34.8,2017-38
304,2017,12,T_mean,29.799999999999997,2017-38
305,2017,12,T_min,24.5,2017-38
306,2017,14,T_max,31.2,2017-38
307,2017,14,T_mean,26.3,2017-38
308,2017,14,T_min,20.4,2017-39
309,2017,15,T_max,33.5,2017-39
310,2017,15,T_mean,27.6,2017-39
311,2017,15,T_min,25.0,2017-39
312,2017,16,T_max,34.63333333333333,2017-39
313,2017,16,T_mean,30.133333333333336,2017-39
314,2017,16,T_min,24.833333333333332,2017-40
315,2017,17,T_max,35.5,2017-40
316,2017,17,T_mean,30.3,2017-40
317,2017,17,T_min,25.12,2017-41
318,2017,18,T_max,34.25,2017-41
319,2017,18,T_mean,29.45,2017-41
320,2017,18,T_min,24.75,2017-41
321,2017,19,T_max,35.650000000000006,2017-41
322,2017,19,T_mean,30.95,2017-41
323,2017,19,T_min,26.1,2017-41
324,2017,20,T_max,34.93,2017-42
325,2017,20,T_mean,29.82,2017-42
326,2017,20,T_min,26.110000000000003,2017-42
327,2017,21,T_max,33.214285714285715,2017-42
328,2017,21,T_mean,29.185714285714287,2017-42
329,2017,21,T_min,26.099999999999998,2017-42
330,2017,22,T_max,34.24285714285714,2017-42
331,2017,22,T_mean,29.78571428571429,2017-43
332,2017,22,T_min,25.89285714285714,2017-43
333,2017,23,T_max,33.48571428571429,2017-43
334,2017,23,T_mean,28.557142857142857,2017-43
335,2017,23,T_min,25.478571428571428,2017-43
336,2017,24,T_max,35.3,2017-43
337,2017,24,T_mean,30.6,2017-43
338,2017,24,T_min,25.2,2017-44
339,2017,25,T_max,34.5,2017-44
340,2017,25,T_mean,28.8,2017-44
341,2017,25,T_min,25.0,2017-44
342,2017,26,T_max,33.333333333333336,2017-44
343,2017,26,T_mean,27.566666666666663,2017-44
344,2017,26,T_min,23.816666666666666,2017-44
345,2017,27,T_max,32.75714285714286,2017-45
346,2017,27,T_mean,28.014285714285712,2017-45
347,2017,27,T_min,24.614285714285717,2017-45
